,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
1364,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 12:16:42,2,0,"Back home. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/lNv4B7uyPt"
1365,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 12:16:31,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/1kQ7HXfJ1E"
1366,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 12:07:53,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/nOZkZge1sK"
1367,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 11:40:06,1,0,"Week in Phoenix (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/ysBWQbKZ9H"
1368,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 11:04:54,0,0,"First leg complete (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/LvUecqvBkJ"
1369,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-13 10:20:49,0,0,"Buyin' drinks for everybody - but the pilot, it's a party🎉 @ Chicago O'Hare International Airport https://t.co/6N6En80A8a"
1370,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 10:05:58,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/1DCNduHJ0H"
1371,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-13 04:42:47,0,0,#USMC 📷 @marisol_ox @ Chicago O'Hare International Airport https://t.co/4Vl1bkNl4k
1372,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 02:51:41,0,0,"Home! For 8 hours...  😑 (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/sZ9ebfiV3F"
1373,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 02:05:18,1,0,"Starting my long journey home. Thank you USA! (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/EOiwxCnyAq"
1374,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-13 01:31:48,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/tur6pva5MZ"
1375,o'hare,"{'coordinates': [-87.89933278, 41.97495331], 'type': 'Point'}",2016-03-13 01:14:23,0,0,"Just posted a photo @ American Airlines, Terminal 3, Chicago O'Hare International Airport https://t.co/wnCGutBQzH"
